,0,1,2,3
372,12/28/2009,707,584,505
373,12/29/2009,269,495,810
374,12/30/2009,127,698,054
375,12/31/2009,185,224,481
376,1/1/2010,N/D,N/D,N/D
377,1/2/2010,911,859,492
378,1/3/2010,907,517,324
379,1/4/2010,246,873,271
380,1/5/2010,645,128,325
381,1/6/2010,861,336,723
382,1/7/2010,174,266,755
383,1/8/2010,521,882,948
384,1/9/2010,800,622,912
385,1/10/2010,300,100,982
386,1/11/2010,232,638,888
387,1/12/2010,683,135,224
388,1/13/2010,486,500,181
389,1/14/2010,326,965,982
390,1/15/2010,131,322,496
391,1/16/2010,932,737,777
392,1/17/2010,186,292,591
393,1/18/2010,964,467,531
394,1/19/2010,254,446,194
395,1/20/2010,307,584,719
396,1/21/2010,383,109,397
397,1/22/2010,974,040,892
398,1/23/2010,153,011,022
399,1/24/2010,904,052,848
400,1/25/2010,991,846,936
401,1/26/2010,595,914,078
402,1/27/2010,348,806,145
403,1/28/2010,619,840,925
404,1/29/2010,680,110,730
405,1/30/2010,213,119,515
406,1/31/2010,690,921,442
407,FEBRUARY,2PM,5PM,9PM
408,2/1/2010,917,263,650
409,2/2/2010,328,662,055
410,2/3/2010,479,807,241
411,2/4/2010,097,809,129
412,2/5/2010,524,038,903
413,2/6/2010,121,012,292
414,2/7/2010,354,222,654
415,2/8/2010,544,503,047
416,2/9/2010,976,646,906
417,2/10/2010,566,145,465
418,2/11/2010,634,040,601
419,2/12/2010,068,989,260
420,2/13/2010,654,314,041
421,2/14/2010,248,441,055
422,2/15/2010,870,684,403
423,2/16/2010,484,076,333
424,2/17/2010,084,862,887
425,2/18/2010,420,054,944
426,2/19/2010,977,010,576
427,2/20/2010,517,971,845
428,2/21/2010,588,579,052
429,2/22/2010,714,783,082
430,2/23/2010,716,845,703
431,2/24/2010,914,818,783
432,2/25/2010,328,967,147
433,2/26/2010,053,284,261
434,2/27/2010,488,757,300
435,2/28/2010,882,727,049
436,MARCH,2PM,5PM,9PM
437,3/1/2010,180,034,569
438,3/2/2010,438,866,492
439,3/3/2010,583,645,801
440,3/4/2010,613,473,610
441,3/5/2010,391,169,622
442,3/6/2010,021,318,014
443,3/7/2010,096,336,154
444,3/8/2010,774,821,649
445,3/9/2010,849,320,624
446,3/10/2010,428,910,406
447,3/11/2010,300,581,513
448,3/12/2010,428,243,287
449,3/13/2010,489,623,580
450,3/14/2010,828,813,330
451,3/15/2010,626,985,773
452,3/16/2010,188,054,829
453,3/17/2010,835,272,825
454,3/18/2010,830,486,760
455,3/19/2010,891,616,422
456,3/20/2010,339,165,946
457,3/21/2010,249,184,793
458,3/22/2010,459,403,657
459,3/23/2010,360,238,322
460,3/24/2010,462,438,498
461,3/25/2010,210,832,328
462,3/26/2010,749,534,436
463,3/27/2010,586,529,041
464,3/28/2010,678,085,863
465,3/29/2010,811,797,108
466,3/30/2010,485,759,710
467,3/31/2010,832,848,743
468,APRIL,2PM,5PM,9PM
469,4/1/2010,N/D,N/D,N/D
470,4/2/2010,N/D,N/D,N/D
471,4/3/2010,N/D,N/D,N/D
472,4/4/2010,N/D,N/D,N/D
473,4/5/2010,390,306,750
474,4/6/2010,993,347,251
475,4/7/2010,688,269,112
476,4/8/2010,442,630,721
477,4/9/2010,395,999,689
478,4/10/2010,124,448,933
479,4/11/2010,552,480,320
480,4/12/2010,203,509,203
481,4/13/2010,686,153,344
482,4/14/2010,349,340,021
483,4/15/2010,345,565,913
484,4/16/2010,780,842,322
485,4/17/2010,427,083,760
486,4/18/2010,562,664,294
487,4/19/2010,644,590,551
488,4/20/2010,730,895,047
489,4/21/2010,239,209,253
490,4/22/2010,087,841,999
491,4/23/2010,361,011,955
492,4/24/2010,335,888,173
493,4/25/2010,725,144,585
494,4/26/2010,014,486,504
495,4/27/2010,203,823,462
496,4/28/2010,649,094,030
497,4/29/2010,007,483,992
498,4/30/2010,111,505,476
499,MAY,2PM,5PM,9PM
500,5/1/2010,783,197,519
501,5/2/2010,098,141,603
502,5/3/2010,671,131,603
503,5/4/2010,391,004,639
504,5/5/2010,638,162,525
505,5/6/2010,095,530,573
506,5/7/2010,436,757,744
507,5/8/2010,518,232,471
508,5/9/2010,490,773,318
509,5/10/2010,194,298,936
510,5/11/2010,387,584,811
511,5/12/2010,419,732,686
512,5/13/2010,274,976,973
513,5/14/2010,416,153,688
514,5/15/2010,753,722,459
515,5/16/2010,146,639,579
516,5/17/2010,966,237,030
517,5/18/2010,316,139,225
518,5/19/2010,045,351,402
519,5/20/2010,235,294,478
520,5/21/2010,098,681,485
521,5/22/2010,302,191,552
522,5/23/2010,261,984,475
523,5/24/2010,735,941,169
524,5/25/2010,162,267,753
525,5/26/2010,676,020,884
526,5/27/2010,473,179,291
527,5/28/2010,500,915,306
528,5/29/2010,835,811,804
529,5/30/2010,456,111,303
530,5/31/2010,N/D,N/D,N/D
531,JUNE,2PM,5PM,9PM
532,6/1/2010,543,299,819
533,6/2/2010,501,791,239
534,6/3/2010,947,860,147
535,6/4/2010,149,154,265
536,6/5/2010,991,950,022
537,6/6/2010,377,618,917
538,6/7/2010,005,419,539
539,6/8/2010,292,973,097
540,6/9/2010,048,007,777
541,6/10/2010,092,329,706
542,6/11/2010,487,243,027
543,6/12/2010,829,451,468
544,6/13/2010,886,201,340
545,6/14/2010,049,860,946
546,6/15/2010,866,875,471
547,6/16/2010,329,244,288
548,6/17/2010,734,768,921
549,6/18/2010,652,478,540
550,6/19/2010,014,119,277
551,6/20/2010,712,803,680
552,6/21/2010,050,139,624
553,6/22/2010,763,510,076
554,6/23/2010,461,740,407
555,6/24/2010,199,478,415
556,6/25/2010,148,814,644
557,6/26/2010,448,934,256
558,6/27/2010,265,007,918
559,6/28/2010,958,239,908
560,6/29/2010,064,746,556
561,6/30/2010,225,445,071
562,JULY,2PM,5PM,9PM
563,7/1/2010,505,422,768
564,7/2/2010,857,149,783
565,7/3/2010,262,547,256
566,7/4/2010,925,985,662
567,7/5/2010,177,743,736
568,7/6/2010,103,698,401
569,7/7/2010,762,500,441
570,7/8/2010,649,811,880
571,7/9/2010,697,030,914
572,7/10/2010,392,152,517
573,7/11/2010,917,935,888
574,7/12/2010,966,020,485
575,7/13/2010,963,873,920
576,7/14/2010,395,377,538
577,715/2010,858,865,851
578,7/16/2010,122,353,013
579,7/17/2010,558,699,039
580,7/18/2010,173,130,112
581,7/19/2010,295,922,872
582,7/20/2010,040,668,732
583,7/21/2010,683,031,023
584,7/22/2010,500,335,724
585,7/23/2010,806,991,616
586,7/24/2010,657,688,010
587,7/25/2010,113,794,625
588,7/26/2010,221,646,184
589,7/27/2010,808,652,244
590,7/28/2010,877,621,164
591,7/29/2010,133,620,825
592,7/30/2010,284,317,560
593,7/31/2010,381,739,528
594,AUGUST,2PM,5PM,9PM
595,8/1/2010,358,170,021
596,8/2/2010,014,199,440
597,8/3/2010,042,183,458
598,8/4/2010,618,687,127
599,8/5/2010,449,908,374
600,8/6/2010,616,812,191
601,8/7/2010,717,370,476
602,8/8/2010,720,386,948
603,8/9/2010,378,363,197
604,8/10/2010,665,709,019
605,8/11/2010,722,398,147
606,8/12/2010,559,914,338
607,8/13/2010,124,541,971
608,8/14/2010,432,964,477
609,8/15/2010,079,868,841
610,8/16/2010,867,447,488
611,8/17/2010,225,986,710
612,8/18/2010,233,185,940
613,8/19/2010,316,808,907
614,8/20/2010,809,898,043
615,8/21/2010,026,277,569
616,8/22/2010,977,298,242
617,8/23/2010,438,089,812
618,8/24/2010,084,340,877
619,8/25/2010,549,958,193
620,8/26/2010,747,429,133
621,8/27/2010,568,089,208
622,8/28/2010,596,949,372
623,8/29/2010,808,772,927
624,8/30/2010,376,541,386
625,8/31/2010,675,192,703
626,SEPTEMBER,2PM,5PM,9PM
627,9/1/2010,139,238,496
628,9/2/2010,878,612,444
629,9/3/2010,127,288,425
630,9/4/2010,481,009,653
631,9/5/2010,687,610,157
632,9/6/2010,869,417,350
633,9/7/2010,939,413,394
634,9/8/2010,121,960,518
635,9/9/2010,273,709,232
636,9/10/2010,991,470,324
637,9/11/2010,309,551,698
638,9/12/2010,144,242,406
639,9/13/2010,662,420,536
640,9/14/2010,231,661,568
641,9/15/2010,958,061,475
642,9/16/2010,764,667,966
643,9/17/2010,368,584,232
644,9/18/2010,855,808,887
645,9/19/2010,113,153,179
646,9/20/2010,956,874,474
647,9/21/2010,351,717,103
648,9/22/2010,460,174,142
649,9/23/2010,760,842,175
650,9/24/2010,057,455,110
651,9/25/2010,776,340,376
652,9/26/2010,022,179,399
653,9/27/2010,515,996,773
654,9/28/2010,821,217,705
655,9/29/2010,617,664,276
656,9/30/2010,437,620,919
657,OCTOBER,2PM,5PM,9PM
658,10/1/2010,230,992,396
659,10/2/2010,291,927,716
660,10/3/2010,530,014,883
661,10/4/2010,646,004,671
662,10/5/2010,822,094,764
663,10/6/2010,749,495,380
664,10/7/2010,792,380,987
665,10/8/2010,055,349,139
666,10/9/2010,267,797,393
667,10/10/2010,766,149,486
668,10/11/2010,078,863,718
669,10/12/2010,222,740,445
670,10/13/2010,173,808,369
671,10/14/2010,167,409,287
672,10/15/2010,691,895,211
673,10/16/2010,923,485,988
674,10/17/2010,523,062,557
675,10/18/2010,662,269,428
676,10/19/2010,737,507,979
677,10/20/2010,782,310,829
678,10/21/2010,962,440,783
679,10/22/2010,019,057,076
680,10/23/2010,894,474,615
681,10/24/2010,768,806,865
682,10/25/2010,799,847,979
683,10/26/2010,613,044,018
684,10/27/2010,917,421,834
685,10/28/2010,780,904,132
686,10/29/2010,822,063,142
687,10/30/2010,909,342,408
688,10/31/2010,678,094,186
689,NOVEMBER,2PM,5PM,9PM
690,11/1/2010,023,016,193
691,11/2/2010,668,839,391
692,11/3/2010,931,731,110
693,11/4/2010,842,539,623
694,11/5/2010,090,256,457
695,11/6/2010,929,787,439
696,11/7/2010,905,066,523
697,11/8/2010,012,588,260
698,11/9/2010,126,615,967
699,11/10/2010,799,161,534
700,11/11/2010,297,915,920
701,11/12/2010,451,974,226
702,11/13/2010,151,268,246
703,11/14/2010,268,166,286
704,11/15/2010,108,382,457
705,11/16/2010,372,438,383
706,11/17/2010,131,170,634
707,11/18/2010,516,447,421
708,11/19/2010,115,765,523
709,11/20/2010,158,649,381
710,11/21/2010,539,222,097
711,11/22/2010,702,170,055
712,11/23/2010,744,657,425
713,11/24/2010,671,285,881
714,11/25/2010,174,195,214
715,11/26/2010,600,776,106
716,11/27/2010,138,046,606
717,11/28/2010,860,511,137
718,11/29/2010,254,312,302
719,11/30/2010,112,801,322
720,DECEMBER,2PM,5PM,9PM
721,12/1/2010,124,816,544
722,12/2/2010,340,579,127
723,12/3/2010,211,717,387
724,12/4/2010,228,158,780
725,12/5/2010,273,567,002
726,12/6/2010,342,166,632
727,12/7/2010,794,470,859
728,12/8/2010,675,688,345
729,12/9/2010,162,091,158
730,12/10/2010,718,119,050
731,12/11/2010,700,286,596
732,12/12/2010,637,806,285
733,12/13/2010,719,419,384
734,12/14/2010,202,194,253
735,12/15/2010,427,009,686
736,12/16/2010,208,827,341
737,12/17/2010,111,289,572
738,12/18/2010,400,141,344
739,12/19/2010,572,197,046
740,12/20/2010,717,588,823
741,12/21/2010,057,365,933
742,12/22/2010,738,395,841
743,12/23/2010,519,984,645
744,12/24/2010,779,962,414
745,12/25/2010,N/D,N/D,N/D
746,12/26/2010,051,975,202
747,12/27/2010,705,036,629
748,12/28/2010,958,872,756
749,12/29/2010,676,662,239
750,12/30/2010,015,662,767
751,12/31/2010,952,444,326
752,1/1/2011,N/D,N/D,N/D
753,1/2/2011,723,471,804
754,1/3/2011,636,671,514
755,1/4/2011,462,324,452
756,1/5/2011,884,449,980
757,1/6/2011,969,211,636
758,1/7/2011,906,176,032
759,1/8/2011,343,740,388
760,1/9/2011,928,703,338
761,1/10/2011,605,828,947
762,1/11/2011,580,739,332
763,1/12/2011,951,214,525
764,1/13/2011,046,724,162
765,1/14/2011,801,820,938
766,1/15/2011,957,705,927
767,1/16/2011,193,849,840
768,1/17/2011,941,884,205
769,1/18/2011,070,022,674
770,1/19/2011,857,993,815
771,1/20/2011,932,237,148
772,1/21/2011,087,720,362
773,1/22/2011,926,684,283
774,1/23/2011,994,600,285
775,1/24/2011,021,759,604
776,1/25/2011,045,863,593
777,1/26/2011,017,314,097
778,1/27/2011,271,223,361
779,1/28/2011,323,976,469
780,1/29/2011,617,687,006
781,1/30/2011,460,917,480
782,1/31/2011,025,582,439
783,FEBRUARY,11AM,4PM,9PM
784,2/1/2011,850,471,171
785,2/2/2011,481,575,627
786,2/3/2011,158,906,888
787,2/4/2011,396,676,642
788,2/5/2011,872,279,784
789,2/6/2011,788,354,244
790,2/7/2011,425,788,503
791,2/8/2011,444,275,170
792,2/9/2011,475,238,193
793,2/10/2011,077,871,924
794,2/11/2011,937,835,449
795,2/12/2011,052,340,820
796,2/13/2011,397,189,668
797,2/14/2011,947,449,278
798,2/15/2011,054,235,215
799,2/16/2011,970,027,168
800,2/17/2011,855,582,972
801,2/18/2011,163,518,872
802,2/19/2011,146,612,534
803,2/20/2011,311,291,422
804,2/21/2011,689,638,752
805,2/22/2011,288,427,972
806,2/23/2011,546,534,094
807,2/24/2011,512,981,793
808,2/25/2011,586,646,014
809,2/26/2011,778,457,124
810,2/27/2011,956,205,382
811,2/28/2011,427,595,068
812,MARCH,11AM,4PM,9PM
813,3/1/2011,943,453,794
814,3/2/2011,699,837,033
815,3/3/2011,341,652,497
816,3/4/2011,503,518,940
817,3/5/2011,101,714,869
818,3/6/2011,873,286,384
819,3/7/2011,490,886,641
820,3/8/2011,376,886,436
821,3/9/2011,582,619,159
822,3/10/2011,106,774,218
823,3/11/2011,611,746,227
824,3/12/2011,307,824,318
825,3/13/2011,376,026,217
826,3/14/2011,826,125,825
827,3/15/2011,007,573,554
828,3/16/2011,016,148,960
829,3/17/2011,437,340,341
830,3/18/2011,171,601,127
831,3/19/2011,976,517,661
832,3/20/2011,615,955,962
833,3/21/2011,892,811,164
834,3/22/2011,149,648,918
835,3/23/2011,715,234,617
836,3/24/2011,956,299,866
837,3/25/2011,217,568,430
838,3/26/2011,955,292,374
839,3/27/2011,359,694,924
840,3/28/2011,131,920,484
841,3/29/2011,109,302,530
842,3/30/2011,658,873,801
843,3/31/2011,620,069,022
844,APRIL,11AM,4PM,9PM
845,4/1/2011,100,266,256
846,4/2/2011,686,971,898
847,4/3/2011,132,711,634
848,4/4/2011,174,013,227
849,4/5/2011,247,408,991
850,4/6/2011,463,899,412
851,4/7/2011,763,452,219
852,4/8/2011,916,950,065
853,4/9/2011,932,455,787
854,4/10/2011,264,659,135
855,4/11/2011,037,610,377
856,4/12/2011,549,058,717
857,4/13/2011,273,052,703
858,4/14/2011,075,232,186
859,4/15/2011,628,344,938
860,4/16/2011,708,449,860
861,4/17/2011,931,178,071
862,4/18/2011,296,697,383
863,4/19/2011,768,989,243
864,4/20/2011,164,033,756
865,4/21/2011,N/D,N/D,N/D
866,4/22/2011,N/D,N/D,N/D
867,4/23/2011,N/D,N/D,N/D
868,4/24/2011,N/D,N/D,N/D
869,4/25/2011,872,402,739
870,4/26/2011,372,150,397
871,4/27/2011,617,177,474
872,4/28/2011,338,131,386
873,4/29/2011,493,176,208
874,4/30/2011,682,304,588
875,MAY,11AM,4PM,9PM
876,5/1/2011,604,996,469
877,5/2/2011,510,076,387
878,5/3/2011,755,895,914
879,5/4/2011,325,545,278
880,5/5/2011,119,903,408
881,5/6/2011,231,593,627
882,5/7/2011,890,010,533
883,5/8/2011,446,734,067
884,5/9/2011,126,874,594
885,5/10/2011,055,989,618
886,5/11/2011,789,246,761
887,5/12/2011,928,310,574
888,5/13/2011,924,100,859
889,5/14/2011,726,848,988
890,5/15/2011,837,840,118
891,5/16/2011,048,129,193
892,5/17/2011,664,194,697
893,5/18/2011,695,669,954
894,5/19/2011,161,125,908
895,5/20/2011,784,728,933
896,5/21/2011,895,477,199
897,5/22/2011,764,760,497
898,5/23/2011,764,382,352
899,5/24/2011,227,216,958
900,5/25/2011,425,879,134
901,5/26/2011,441,473,556
902,5/27/2011,164,534,957
903,5/28/2011,863,743,397
904,5/29/2011,888,735,499
905,5/30/2011,089,355,618
906,5/31/2011,001,193,913
907,JUNE,11AM,4PM,9PM
908,6/1/2011,228,091,483
909,6/2/2011,951,671,482
910,6/3/2011,035,190,545
911,6/4/2011,348,537,189
912,6/5/2011,520,199,311
913,6/6/2011,704,338,498
914,6/7/2011,059,060,391
915,6/8/2011,435,792,975
